ICD-9 Codes for Family Medicine 2011-2012: The FPM Short List
"Note: Codes that include NOS (not otherwise specified) or unspec. (unspecified) have alternative diagnosis codes that are more specific. These alternatives can be found in or near the section of ICD-9-CM that deals with the relevant three-digit codes. The top 100 codes are indicated with a ""Yes"" in the Top 100 column. These codes have been identified by the authors as especially common in family medicine."
"Compiled by Donald Spencer, MD, MBA, of the Department of Family Medicine, University of North Carolina, Chapel Hill, Philip S. Whitecar, MD, of the Department of Family Medicine, Wright State University, Dayton, Ohio, and Allen Daugird, MD, MBA, of the Department of Family Medicine, University of North Carolina, Chapel Hill. Author disclosure: no relevant financial affiliations disclosed. "
Printed copies of this list may be purchased through the AAFP online catalog at http://www.aafp.org/shop/fpm/icd9 or by calling the AAFP Contact Center at 800-274-2237. This and the FPM �Long List� can be downloaded from the FPM web site at http://www.aafp.org/fpm/icd9.
Portions copyright � 2011 American Academy of Family Physicians.
Top	Diagnosis
Diagnosis Section Subsection	100		Code	Description
I. Infectious & Parasitic Diseases			005.0	Staphylococcal food poisoning
I. Infectious & Parasitic Diseases		Yes	034.0	Strep throat
I. Infectious & Parasitic Diseases			097.9	"Syphilis, unspec."
I. Infectious & Parasitic Diseases			131.9	"Trichomoniasis, unspec."
I. Infectious & Parasitic Diseases			011.90	"Tuberculosis, pulmonary, NOS"
I. Infectious & Parasitic Diseases			099.9	"Venereal disease, unspec."
I. Infectious & Parasitic Diseases		Yes	079.99	"Viral infection, unspec."
I. Infectious & Parasitic Diseases			078.11	"Warts, condyloma"
I. Infectious & Parasitic Diseases		Yes	078.10	"Warts, viral, unspec."
II. Neoplasms			239.9	"Neoplasm, unspec."
II. Neoplasms			239.2 	"Skin, soft tissue neoplasm, unspec."
II. Neoplasms	Benign Neoplasms		229.9	"Benign lesion, unspec."
II. Neoplasms	Benign Neoplasms		211.3	Colon
II. Neoplasms	Benign Neoplasms		214.9	"Lipoma, any site"
II. Neoplasms	Benign Neoplasms	Yes	216.9	"Skin, unspec."
II. Neoplasms	Malignant Neoplasms		188.9	"Bladder, unspec."
II. Neoplasms	Malignant Neoplasms		174.9	"Breast, female, unspec."
II. Neoplasms	Malignant Neoplasms		153.9	"Colon, unspec."
II. Neoplasms	Malignant Neoplasms		184.9	"Female genital, unspec., CIS excluded"
II. Neoplasms	Malignant Neoplasms		159.0	"Gastrointestinal tract, unspec."
II. Neoplasms	Malignant Neoplasms		201.90	"Hodgkin's, NOS"
II. Neoplasms	Malignant Neoplasms		208.90	"Leukemia, unspec., w/o remission"
II. Neoplasms	Malignant Neoplasms		162.9	"Lung, unspec."
II. Neoplasms	Malignant Neoplasms		187.9	"Male genital, unspec."
II. Neoplasms	Malignant Neoplasms		199.1	"Malignant lesion, unspec."
II. Neoplasms	Malignant Neoplasms		185	Prostate
II. Neoplasms	Malignant Neoplasms		165.9	"Respiratory tract, NOS"
II. Neoplasms	Malignant Neoplasms		173.90	"Skin, unspec."
II. Neoplasms	Malignant Neoplasms		189.9	"Urinary, unspec."
"III. Endocrine, Nutritional & Metabolic Disorders"			266.2	B12 deficiency w/o anemia
"III. Endocrine, Nutritional & Metabolic Disorders"			V85.51	"BMI < 5th percentile, pediatric"
"III. Endocrine, Nutritional & Metabolic Disorders"			V85.54	"BMI � 95th percentile, pediatric"
"III. Endocrine, Nutritional & Metabolic Disorders"			276.51	Dehydration
"III. Endocrine, Nutritional & Metabolic Disorders"		Yes	250.01	"Diabetes I, uncomplicated"
"III. Endocrine, Nutritional & Metabolic Disorders"			250.91	"Diabetes I, w/ unspec. complications"
"III. Endocrine, Nutritional & Metabolic Disorders"		Yes	250.00	"Diabetes II, uncomplicated"
"III. Endocrine, Nutritional & Metabolic Disorders"			250.90	"Diabetes II, w/ unspec. complications"
"III. Endocrine, Nutritional & Metabolic Disorders"			250.13	"Diabetic ketoacidosis, uncontrolled"
"III. Endocrine, Nutritional & Metabolic Disorders"			277.7	Dysmetabolic syndrome
"III. Endocrine, Nutritional & Metabolic Disorders"		Yes	271.9	Glucose intolerance
"III. Endocrine, Nutritional & Metabolic Disorders"			240.9	"Goiter, unspec."
"III. Endocrine, Nutritional & Metabolic Disorders"			274.9	"Gout, unspec."
"III. Endocrine, Nutritional & Metabolic Disorders"			275.42	Hypercalcemia
"III. Endocrine, Nutritional & Metabolic Disorders"		Yes	272.0	"Hypercholesterolemia, pure"
"III. Endocrine, Nutritional & Metabolic Disorders"			276.7	Hyperkalemia
"III. Endocrine, Nutritional & Metabolic Disorders"			272.2 	"Hyperlipidemia, mixed"
"III. Endocrine, Nutritional & Metabolic Disorders"			272.4	"Hyperlipidemia, unspec."
"III. Endocrine, Nutritional & Metabolic Disorders"			276.0	Hypernatremia
"III. Endocrine, Nutritional & Metabolic Disorders"			252.00	"Hyperparathyroidism, unspec."
"III. Endocrine, Nutritional & Metabolic Disorders"			242.90	"Hyperthyroidism, NOS"
"III. Endocrine, Nutritional & Metabolic Disorders"			275.41	Hypocalcemia
"III. Endocrine, Nutritional & Metabolic Disorders"			250.80	"Hypoglycemia, DM, uncontrolled"
"III. Endocrine, Nutritional & Metabolic Disorders"			251.2	"Hypoglycemia, nondiabetic, unspec."
"III. Endocrine, Nutritional & Metabolic Disorders"			276.8	Hypokalemia
"III. Endocrine, Nutritional & Metabolic Disorders"			276.1	Hyponatremia
"III. Endocrine, Nutritional & Metabolic Disorders"		Yes	244.9	"Hypothyroidism, unspec."
"III. Endocrine, Nutritional & Metabolic Disorders"			269.9	"Nutritional deficiencies, unspec."
"III. Endocrine, Nutritional & Metabolic Disorders"		Yes	278.00	"Obesity, NOS"
"III. Endocrine, Nutritional & Metabolic Disorders"		Yes	278.02	Overweight
"III. Endocrine, Nutritional & Metabolic Disorders"			241.0	Thyroid nodule
IV. Blood Diseases			288.9	"Abnormal white blood cells, unspec."
IV. Blood Diseases			285.1	"Anemia, acute blood loss"
IV. Blood Diseases			285.29	"Anemia, chronic disease, other"
IV. Blood Diseases			285.21	"Anemia, chronic kidney disease"
IV. Blood Diseases			285.22	"Anemia, chronic neoplastic disease"
IV. Blood Diseases		Yes	280.9	"Anemia, iron deficiency, unspec."
IV. Blood Diseases		Yes	285.9	"Anemia, other, unspec."
IV. Blood Diseases			281.0	"Anemia, pernicious"
IV. Blood Diseases			289.9	"Blood disease, unspec."
IV. Blood Diseases			287.9	"Hemorrhagic conditions, unspec."
IV. Blood Diseases			289.81	"Hypercoagulable state, primary"
IV. Blood Diseases			288.50	"Leukocytopenia, unspec."
IV. Blood Diseases			289.1	"Lymphadenitis, chronic"
IV. Blood Diseases			284.19	"Pancytopenia, other"
IV. Blood Diseases			238.4	Polycythemia vera
IV. Blood Diseases			282.60	"Sickle-cell disease, unspec."
IV. Blood Diseases			282.5	Sickle-cell trait
V. Mental Disorders			309.9	"Adjustment reaction, unspec."
V. Mental Disorders			305.00	"Alcohol abuse, unspec."
V. Mental Disorders			303.90	"Alcoholism, unspec."
V. Mental Disorders			331.0	Alzheimer's
V. Mental Disorders			307.1	Anorexia nervosa
V. Mental Disorders		Yes	300.00	"Anxiety state, unspec."
V. Mental Disorders		Yes	314.01	"Attention deficit, w/ hyperactivity"
V. Mental Disorders			314.00	"Attention deficit, w/o hyperactivity"
V. Mental Disorders			307.51	Bulimia nervosa
V. Mental Disorders			312.9	"Conduct disorder, unspec."
V. Mental Disorders			293.0	"Delirium, acute"
V. Mental Disorders			290.0	"Dementia, senile, uncomplicated"
V. Mental Disorders			290.40	"Dementia, vascular, uncomplicated"
V. Mental Disorders		Yes	311	"Depressive disorder, NOS"
V. Mental Disorders			305.90	"Drug abuse, unspec."
V. Mental Disorders		Yes	307.40	"Insomnia, sleep disorder, unspec."
V. Mental Disorders			319	"Intellectual disabilities, unspec."
V. Mental Disorders			315.9	"Learning disability/develop. delay, NOS"
V. Mental Disorders			300.9	"Neurosis, NOS"
V. Mental Disorders			300.01	"Panic disorder, no agoraphobia"
V. Mental Disorders			301.9	"Personality disorder, unspec."
V. Mental Disorders			302.70	"Psychosexual dysf., unspec."
V. Mental Disorders			298.9	"Psychosis, unspec."
V. Mental Disorders			295.90	"Schizophrenia, unspec."
V. Mental Disorders			308.3	"Stress, acute situational disturbance"
V. Mental Disorders		Yes	305.1	Tobacco abuse
VI. Nervous System & Sense Organ Disorders	Ear Diseases	Yes	380.4	Cerumen impaction
VI. Nervous System & Sense Organ Disorders	Ear Diseases		388.9	"Ear disorder, unspec."
VI. Nervous System & Sense Organ Disorders	Ear Diseases		381.50	"Eustachian salpingitis, unspec."
VI. Nervous System & Sense Organ Disorders	"Ear Diseases
"		389.9	"Hearing loss, unspec."
VI. Nervous System & Sense Organ Disorders	Ear Diseases	Yes	380.10	"Otitis externa, unspec."
VI. Nervous System & Sense Organ Disorders	Ear Diseases	Yes	382.00	"Otitis media, acute"
VI. Nervous System & Sense Organ Disorders	Ear Diseases		382.01	"Otitis media, acute w/ rupture of TM"
VI. Nervous System & Sense Organ Disorders	Ear Diseases		381.10	"Otitis media, chronic serous"
VI. Nervous System & Sense Organ Disorders	Ear Diseases		386.2	"Vertigo, central"
VI. Nervous System & Sense Organ Disorders	Ear Diseases		386.10	"Vertigo, peripheral, unspec."
VI. Nervous System & Sense Organ Disorders	Eye Diseases		373.00	"Blepharitis, unspec."
VI. Nervous System & Sense Organ Disorders	Eye Diseases		366.9	"Cataract, unspec."
VI. Nervous System & Sense Organ Disorders	Eye Diseases		373.2	Chalazion
VI. Nervous System & Sense Organ Disorders	Eye Diseases	Yes	372.30	"Conjunctivitis, unspec."
VI. Nervous System & Sense Organ Disorders	Eye Diseases		077.99	"Conjunctivitis, viral, NOS"
VI. Nervous System & Sense Organ Disorders	Eye Diseases		918.1	Corneal abrasion
VI. Nervous System & Sense Organ Disorders	Eye Diseases		370.00	"Corneal ulcer, unspec."
VI. Nervous System & Sense Organ Disorders	Eye Diseases		379.90	"Eye disorder, unspec."
VI. Nervous System & Sense Organ Disorders	Eye Diseases		378.9	"Eye movement disorder, unspec."
VI. Nervous System & Sense Organ Disorders	Eye Diseases		930.9	"Foreign body, eye, external, unspec."
VI. Nervous System & Sense Organ Disorders	Eye Diseases		365.9	"Glaucoma, unspec."
VI. Nervous System & Sense Organ Disorders	Eye Diseases		367.9	"Refractive errors, unspec."
VI. Nervous System & Sense Organ Disorders	Eye Diseases		362.9	"Retinal disorder, unspec."
VI. Nervous System & Sense Organ Disorders	Eye Diseases		373.11	Stye (hordeolum)
VI. Nervous System & Sense Organ Disorders	Eye Diseases		368.10	"Visual disturbance, unspec."
VI. Nervous System & Sense Organ Disorders	Eye Diseases		369.9	"Visual loss, unspec."
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		351.0	Bell's palsy
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		354.0	Carpal tunnel
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases	Yes	434.91	"Cerebral artery occlusion w/ infarction, unspec."
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		331.83	"Cognitive impairment, mild"
VI. Nervous System & Sense Organ Disorders	"Nervous System Diseases
"		850.11	"Concussion, LOC less than 30 minutes"
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		438.9	"CVA, late effect, unspec."
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases	Yes	345.90	"Epilepsy, unspec., not intractable"
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		307.81	"Headache, tension"
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		432.9	"Hemorrhage, intracranial, NOS"
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		322.9	"Meningitis, unspec."
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases	Yes	346.90	"Migraine, unspec., not intractable"
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		333.90	"Movement disorder, unspec."
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		340	Multiple sclerosis
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		359.9	"Myopathy, unspec."
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		349.9	"Nervous system, NOS"
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		357.9	"Neuropathy, unspec."
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		332.0	"Parkinsonism, primary"
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		333.94	Restless legs syndrome
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		327.23	"Sleep apnea, obstructive"
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		333.1	"Tremor, essential/familial"
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		781.0	"Tremor/spasms, NOS"
VI. Nervous System & Sense Organ Disorders	Nervous System Diseases		350.1	Trigeminal neuralgia
VII. Circulatory System			413.9	"Angina pectoris, NOS"
VII. Circulatory System			411.1	"Angina, unstable"
VII. Circulatory System			441.9	"Aortic aneurysm, unspec."
VII. Circulatory System			447.9	"Arterial disorder, other, unspec."
VII. Circulatory System			440.9	"Atherosclerosis, NOS (not heart/brain)"
VII. Circulatory System		Yes	427.31	Atrial fibrillation
VII. Circulatory System			427.5	Cardiac arrest
VII. Circulatory System		Yes	414.9	"Chronic ischemic heart disease, unspec."
VII. Circulatory System			459.9	"Circulatory disorder, unspec."
VII. Circulatory System			426.9	"Conduction disorder, unspec."
VII. Circulatory System		Yes	796.2	Elevated BP w/o hypertension
VII. Circulatory System			429.9	"Heart disease, other, unspec."
VII. Circulatory System			428.40	"Heart failure, combined, unspec."
VII. Circulatory System		Yes	428.0	"Heart failure, congestive, unspec."
VII. Circulatory System			428.30	"Heart failure, diastolic, unspec."
VII. Circulatory System			428.20	"Heart failure, systolic, unspec."
VII. Circulatory System			424.1	"Heart valve, aortic, not rheum."
VII. Circulatory System			424.0	"Heart valve, mitral, not rheum."
VII. Circulatory System			424.3	"Heart valve, pulmonary, not rheum."
VII. Circulatory System			424.2	"Heart valve, tricuspid, not rheum."
VII. Circulatory System		Yes	401.1	"Hypertension, benign"
VII. Circulatory System			401.0	"Hypertension, malignant"
VII. Circulatory System		Yes	401.9	"Hypertension, unspec."
VII. Circulatory System			402.91	"Hypertensive heart disease, unspec., w/ heart failure"
VII. Circulatory System			403.90	"Hypertensive renal disease w/o renal failure, unspec."
VII. Circulatory System			458.0	"Hypotension, orthostatic"
VII. Circulatory System			426.82	Long QT syndrome
VII. Circulatory System			410.90	"MI, NOS (to 8 weeks)"
VII. Circulatory System			410.70	"MI, NSTEMI (to 8 weeks)"
VII. Circulatory System			412	"MI, old"
VII. Circulatory System			420.91	"Pericarditis, acute, nonspecific"
VII. Circulatory System			443.9	"Peripheral vascular disease, unspec."
VII. Circulatory System		Yes	451.19	"Phlebitis, deep, lower extrem., other"
VII. Circulatory System			427.60	"Premature beats, unspec."
VII. Circulatory System			428.1	"Pulmonary edema, acute"
VII. Circulatory System			415.19	"Pulmonary embolism, not iatrogenic"
VII. Circulatory System			416.9	"Pulmonary heart disease, chronic, unspec."
VII. Circulatory System			398.90	"Rheumatic heart disease, unspec."
VII. Circulatory System			427.81	Sick sinus syndrome
VII. Circulatory System			427.0	"Tachycardia, paroxysmal SVT"
VII. Circulatory System			451.9	"Thrombophlebitis, unspec."
VII. Circulatory System			435.9	"Transient ischemic attack, unspec."
VII. Circulatory System			454.9	"Varicose veins, asymptomatic"
VII. Circulatory System			459.81	"Venous insufficiency, unspec."
VIII. Respiratory System			493.81	"Asthma, exercise induced"
VIII. Respiratory System			493.02	"Asthma, extrinsic, acute exacerbation"
VIII. Respiratory System			493.12	"Asthma, intrinsic, acute exacerbation"
VIII. Respiratory System		Yes	493.90	"Asthma, unspec."
VIII. Respiratory System			466.11	"Bronchiolitis, acute, due to RSV"
VIII. Respiratory System		Yes	466.0	"Bronchitis, acute"
VIII. Respiratory System			491.9	"Bronchitis, chronic, unspec."
VIII. Respiratory System			519.11	"Bronchospasm, acute"
VIII. Respiratory System		Yes	496	"COPD, NOS"
VIII. Respiratory System			464.4	Croup
VIII. Respiratory System			492.8	Emphysema
VIII. Respiratory System			464.00	"Laryngitis, acute, no obstruction"
VIII. Respiratory System			475	Peritonsillar abscess
VIII. Respiratory System		Yes	462	"Pharyngitis, acute"
VIII. Respiratory System			511.9	"Pleural effusion, NOS"
VIII. Respiratory System			511.0	"Pleurisy, NOS"
VIII. Respiratory System		Yes	486	"Pneumonia, unspec."
VIII. Respiratory System			512.81	"Pneumothorax, spontaneous, primary"
VIII. Respiratory System			519.9	"Respiratory disease, other, NOS"
VIII. Respiratory System		Yes	477.9	"Rhinitis, allergic, cause unspec."
VIII. Respiratory System			472.0	"Rhinitis, chronic"
VIII. Respiratory System			461.1	"Sinusitis, acute, frontal"
VIII. Respiratory System			461.0	"Sinusitis, acute, maxillary"
VIII. Respiratory System		Yes	461.9	"Sinusitis, acute, NOS"
VIII. Respiratory System			473.1	"Sinusitis, chronic, frontal"
VIII. Respiratory System			473.0	"Sinusitis, chronic, maxillary"
VIII. Respiratory System			473.9	"Sinusitis, chronic, NOS"
VIII. Respiratory System			474.9	"Tonsil/adenoid disease, chronic, unspec."
VIII. Respiratory System			463	"Tonsillitis, acute"
VIII. Respiratory System		Yes	465.9	"Upper respiratory infection, acute, NOS"
IX. Digestive System			565.0	"Anal fissure, nontraumatic"
IX. Digestive System			540.9	"Appendicitis, unspec."
IX. Digestive System			575.0	"Cholecystitis, acute"
IX. Digestive System			574.20	"Cholelithiasis, NOS"
IX. Digestive System			571.5	"Cirrhosis, NOS"
IX. Digestive System		Yes	564.00 	"Constipation, unspec."
IX. Digestive System			555.9	"Crohn's disease, NOS"
IX. Digestive System			522.5	Dental abscess
IX. Digestive System			521.00	"Dental caries, unspec."
IX. Digestive System			525.9	"Dental, unspec."
IX. Digestive System			562.11	"Diverticulitis of colon, NOS"
IX. Digestive System			562.10	"Diverticulosis, colon"
IX. Digestive System			536.8	Dyspepsia
IX. Digestive System			530.9	"Esophageal disease, unspec."
IX. Digestive System			530.10	"Esophagitis, unspec."
IX. Digestive System			564.9	"Functional disorder intestine, unspec."
IX. Digestive System			575.9	"Gallbladder disease, unspec."
IX. Digestive System			535.50	"Gastritis, unspec., w/o hemorrhage"
IX. Digestive System			009.1	"Gastroenteritis, infectious"
IX. Digestive System		Yes	558.9	"Gastroenteritis, noninfectious, unspec."
IX. Digestive System		Yes	530.81	"Gastroesophageal reflux, no esophagitis"
IX. Digestive System		Yes	455.6	"Hemorrhoids, NOS"
IX. Digestive System			553.3	"Hernia, hiatal, noncongenital"
IX. Digestive System			550.90	"Hernia, inguinal, NOS"
IX. Digestive System			553.9	"Hernia, other, NOS"
IX. Digestive System			560.1	Ileus
IX. Digestive System			560.9	"Intestinal obstruction, unspec."
IX. Digestive System			564.1	Irritable bowel syndrome
IX. Digestive System			571.9	"Liver disease, chronic, unspec."
IX. Digestive System			528.9	"Oral, soft tissue diseases, unspec."
IX. Digestive System			529.9	"Oral, tongue diseases, unspec."
IX. Digestive System			577.0	"Pancreatitis, acute"
IX. Digestive System			528.00	"Stomatitis, mucositis, unspec."
IX. Digestive System			524.60	"TMJ disorder, unspec."
IX. Digestive System			556.9	"Ulcerative colitis, unspec."
X. Genitourinary System	Breast Diseases		611.9	"Breast disease, unspec."
X. Genitourinary System	Breast Diseases		611.72	Breast lump
X. Genitourinary System	Breast Diseases		610.2	Fibroadenosis
X. Genitourinary System	Breast Diseases		610.1	Fibrocystic disease
X. Genitourinary System	Breast Diseases		611.6	Galactorrhea
X. Genitourinary System	Breast Diseases		675.90	"Mastitis, lactating, unspec."
X. Genitourinary System	Breast Diseases		611.0	"Mastitis, NOS"
X. Genitourinary System	Disorders of Menstruation		626.0	Amenorrhea
X. Genitourinary System	Disorders of Menstruation		V07.4	"Hormone replacement therapy, postmenopausal"
X. Genitourinary System	Disorders of Menstruation	Yes	627.9	"Menopausal disorders, unspec."
X. Genitourinary System	Disorders of Menstruation	Yes	626.2	"Menstruation, excessive/frequent"
X. Genitourinary System	Disorders of Menstruation		625.3	"Menstruation, painful"
X. Genitourinary System	Disorders of Menstruation		626.6	Metrorrhagia
X. Genitourinary System	Disorders of Menstruation		625.4	Premenstrual tension syndrome
X. Genitourinary System	Female Genital Organ Diseases		616.2	Bartholin cyst
X. Genitourinary System	Female Genital Organ Diseases		622.7	"Cervical polyp, NOS"
X. Genitourinary System	Female Genital Organ Diseases		616.0	Cervicitis
X. Genitourinary System	Female Genital Organ Diseases		620.0	"Cyst of ovary, follicular"
X. Genitourinary System	Female Genital Organ Diseases		618.9	"Cystocele/rectocele/prolapse, unspec."
X. Genitourinary System	Female Genital Organ Diseases		625.0	Dyspareunia
X. Genitourinary System	Female Genital Organ Diseases		617.9	"Endometriosis, unspec."
X. Genitourinary System	Female Genital Organ Diseases		629.9	"Female genital disease, unspec."
X. Genitourinary System	Female Genital Organ Diseases		218.9	"Fibroid uterus (leiomyoma), unspec."
X. Genitourinary System	Female Genital Organ Diseases		614.9	"Pelvic inflammatory disease, unspec."
X. Genitourinary System	Female Genital Organ Diseases	Yes	616.10	"Vaginitis/vulvitis, unspec."
X. Genitourinary System	Fertility Problems		628.9	"Infertility, female, unspec."
X. Genitourinary System	Fertility Problems		606.9	"Infertility, male, unspec."
X. Genitourinary System	Male Genital Organ Diseases		607.1	Balanitis
X. Genitourinary System	Male Genital Organ Diseases		600.01	BPH/LUTS w/ obstruction
X. Genitourinary System	Male Genital Organ Diseases	Yes	600.00	BPH/LUTS w/o obstruction
X. Genitourinary System	Male Genital Organ Diseases		603.9	"Hydrocele, unspec."
X. Genitourinary System	Male Genital Organ Diseases		607.84	"Impotence, organic"
X. Genitourinary System	Male Genital Organ Diseases		302.72	"Impotence, psychosexual dysfunction"
X. Genitourinary System	Male Genital Organ Diseases		608.9	"Male genital disease, other, unspec."
X. Genitourinary System	Male Genital Organ Diseases		604.90	"Orchitis/epididymitis, unspec."
X. Genitourinary System	Male Genital Organ Diseases		605	Phimosis
X. Genitourinary System	Male Genital Organ Diseases	Yes	601.9	"Prostatitis, NOS"
X. Genitourinary System	Male Genital Organ Diseases		790.93	"PSA, elevated"
X. Genitourinary System	Male Genital Organ Diseases		099.40	"Urethritis, nongonococcal, unspec."
X. Genitourinary System	Male Genital Organ Diseases		456.4	Varicocele
X. Genitourinary System	Urinary System Diseases		592.9	"Calculus, urinary, unspec."
X. Genitourinary System	Urinary System Diseases	Yes	595.0	"Cystitis, acute"
X. Genitourinary System	Urinary System Diseases		595.1	"Cystitis, interstitial, chronic"
X. Genitourinary System	Urinary System Diseases		580.9	"Glomerulonephritis, acute, unspec."
X. Genitourinary System	Urinary System Diseases		582.9	"Glomerulonephritis, chronic, unspec."
X. Genitourinary System	Urinary System Diseases		599.70	"Hematuria, unspec."
X. Genitourinary System	Urinary System Diseases		625.6	"Incontinence, stress, female"
X. Genitourinary System	Urinary System Diseases		585.9	"Kidney disease, chronic, unspec."
X. Genitourinary System	Urinary System Diseases		590.10	"Pyelonephritis, acute, w/o necrosis"
X. Genitourinary System	Urinary System Diseases		584.9	"Renal failure, acute, unspec."
X. Genitourinary System	Urinary System Diseases		593.9	"Renal insufficiency, acute"
X. Genitourinary System	Urinary System Diseases		597.81	"Urethral syndrome, non-VD, NOS"
X. Genitourinary System	Urinary System Diseases		599.60	"Urinary obstruction, unspec."
X. Genitourinary System	Urinary System Diseases	Yes	599.0	"Urinary tract infection, unspec./pyuria"
"XI. Pregnancy, Childbirth"			635.90	"Abortion, induced, w/o complication"
"XI. Pregnancy, Childbirth"			634.90	"Abortion, spontaneous, w/o complication"
"XI. Pregnancy, Childbirth"			641.20	"Abruptio placentae, unspec."
"XI. Pregnancy, Childbirth"			641.90	"Bleeding in pregnancy, unspec."
"XI. Pregnancy, Childbirth"			669.90	"Complicated delivery/labor, unspec."
"XI. Pregnancy, Childbirth"			655.70	"Decreased fetal movements, unspec."
"XI. Pregnancy, Childbirth"			633.90	"Ectopic pregnancy, no IUP, unspec."
"XI. Pregnancy, Childbirth"			670.14	"Endometritis, postpartum"
"XI. Pregnancy, Childbirth"			642.30	"Gestational hypertension, unspec."
"XI. Pregnancy, Childbirth"			650	Normal delivery
"XI. Pregnancy, Childbirth"			674.94	"Other complication of puerperium/postpartum, unspec."
"XI. Pregnancy, Childbirth"			641.10	"Placenta previa, w/ bleeding, unspec."
"XI. Pregnancy, Childbirth"			641.00	"Placenta previa, w/o bleeding, unspec."
"XI. Pregnancy, Childbirth"		Yes	V24.2	"Postpartum follow-up, routine"
"XI. Pregnancy, Childbirth"			642.40	"Pre-eclampsia, unspec."
"XI. Pregnancy, Childbirth"			V72.4	Pregnancy exam or test
"XI. Pregnancy, Childbirth"			646.90	"Pregnancy, other complications, unspec."
"XI. Pregnancy, Childbirth"			V22.2	"Pregnant state, incidental"
